BBL,INSP_DATE,RESULT
1000030001,2010-01-12,Active Rat Signs
1000030001,2010-05-12,Active Rat Signs
1000030001,2010-11-08,Active Rat Signs
1000030001,2011-02-11,Active Rat Signs
1000030001,2012-03-06,Active Rat Signs
1000030001,2013-02-20,Active Rat Signs
1000030001,2014-02-24,Active Rat Signs
1000190024,2010-01-14,Active Rat Signs
1000190024,2010-02-02,Active Rat Signs
1000190024,2011-02-10,Active Rat Signs
1000190024,2011-03-01,Active Rat Signs
1000190024,2012-03-06,Active Rat Signs
1000190024,2012-04-03,Active Rat Signs
1000190024,2013-02-20,Active Rat Signs
1000190024,2013-03-05,Passed Inspection
1000190024,2014-06-02,Active Rat Signs
1000190024,2014-07-02,Active Rat Signs
1000190024,2014-09-10,Active Rat Signs
1000190024,2014-10-24,Active Rat Signs
1000300004,2009-10-05,Passed Inspection
1000300004,2010-01-20,Active Rat Signs
1000300004,2010-02-02,Active Rat Signs
1000300004,2011-02-14,Passed Inspection
1000300004,2012-03-02,Active Rat Signs
1000300004,2012-03-21,Active Rat Signs
1000300004,2013-02-12,Passed Inspection
1000300004,2013-10-17,Active Rat Signs
1000300004,2013-11-25,Active Rat Signs
1000490001,2010-01-14,Active Rat Signs
1000490001,2010-02-02,Active Rat Signs
1000490001,2011-02-11,Active Rat Signs
1000490001,2011-03-01,Active Rat Signs
1000490001,2012-03-19,Passed Inspection
1000490001,2013-02-27,Active Rat Signs
1000490001,2013-04-22,Passed Inspection
1000490001,2014-02-24,Passed Inspection
1000530002,2010-01-15,Active Rat Signs
1000530002,2010-02-04,Active Rat Signs
1000530002,2010-07-21,Active Rat Signs
1000530002,2010-11-19,Active Rat Signs
1000530002,2011-02-10,Passed Inspection
1000530002,2012-03-15,Passed Inspection
1000530002,2013-02-20,Active Rat Signs
1000530002,2013-03-05,Passed Inspection
1000690001,2010-01-21,Active Rat Signs
1000690001,2010-02-24,Active Rat Signs
1000690001,2011-02-10,Passed Inspection
1000690001,2011-05-13,Active Rat Signs
1000690001,2011-06-07,Active Rat Signs
1000690001,2012-03-05,Active Rat Signs
1000690001,2012-03-21,Passed Inspection
1000690001,2013-03-01,Active Rat Signs
1000690001,2013-04-10,Passed Inspection
1000720002,2010-01-22,Problem Conditions
1000720002,2010-03-18,Passed Inspection
1000720002,2012-03-02,Active Rat Signs
1000720002,2012-03-14,Active Rat Signs
1000720002,2013-02-06,Active Rat Signs
1000720002,2013-02-21,Active Rat Signs
1000720002,2014-06-13,Active Rat Signs
1000720002,2014-08-22,Active Rat Signs
1000760001,2010-01-20,Active Rat Signs
1000760001,2010-01-22,Active Rat Signs
1000760001,2010-02-24,Active Rat Signs
1000760001,2010-05-27,Active Rat Signs
1000760001,2010-06-25,Passed Inspection
1000760001,2010-09-14,Active Rat Signs
1000760001,2010-10-05,Active Rat Signs
1000760001,2011-02-14,Active Rat Signs
1000760001,2011-03-02,Active Rat Signs
1000760001,2012-03-01,Passed Inspection
1000760001,2012-09-24,Active Rat Signs
1000760001,2012-10-10,Passed Inspection
1000760001,2013-02-25,Active Rat Signs
1000760001,2013-04-22,Active Rat Signs
1000760023,2010-01-22,Active Rat Signs
1000760023,2010-02-24,Active Rat Signs
1000760023,2011-02-14,Active Rat Signs
1000760023,2011-03-02,Active Rat Signs
1000760023,2012-03-05,Passed Inspection
1000760023,2013-02-22,Active Rat Signs
1000760023,2013-04-10,Active Rat Signs
1000760023,2014-05-02,Active Rat Signs
1000760023,2014-06-02,Active Rat Signs
1000760028,2010-01-22,Active Rat Signs
1000760028,2010-02-24,Active Rat Signs
1000760028,2011-02-14,Active Rat Signs
1000760028,2011-03-02,Active Rat Signs
1000760028,2012-03-05,Passed Inspection
1000760028,2013-02-22,Passed Inspection
1000760028,2014-04-10,Active Rat Signs
1000760028,2014-05-02,Passed Inspection
1000770022,2010-01-22,Active Rat Signs
1000770022,2010-02-24,Active Rat Signs
1000770022,2010-10-26,Active Rat Signs
1000770022,2010-11-19,Active Rat Signs
1000770022,2011-02-14,Active Rat Signs
1000770022,2011-03-02,Active Rat Signs
1000770022,2011-05-13,Active Rat Signs
1000770022,2011-06-07,Passed Inspection
1000770022,2012-03-08,Problem Conditions
1000770022,2012-04-03,Active Rat Signs
1000770022,2013-02-07,Active Rat Signs
1000770022,2013-02-21,Active Rat Signs
1000770024,2009-10-15,Active Rat Signs
1000770024,2010-01-20,Active Rat Signs
1000770024,2010-02-05,Active Rat Signs
1000770024,2010-05-27,Active Rat Signs
1000770024,2010-06-25,Active Rat Signs
1000770024,2011-01-10,Problem Conditions
1000770024,2011-02-14,Active Rat Signs
1000770024,2011-03-02,Active Rat Signs
1000770024,2012-03-08,Passed Inspection
1000770024,2013-02-22,Passed Inspection
1000770024,2014-01-02,Passed Inspection
1000770024,2014-01-30,Active Rat Signs
1000770024,2014-03-25,Active Rat Signs
1000770024,2014-05-02,Passed Inspection
1000770024,2014-06-13,Active Rat Signs
1000770024,2014-07-23,Active Rat Signs
1000787506,2009-10-05,Active Rat Signs
1000787506,2010-01-20,Active Rat Signs
1000787506,2010-01-27,Active Rat Signs
1000787506,2010-03-01,Active Rat Signs
1000787506,2011-02-14,Passed Inspection
1000787506,2011-06-30,Active Rat Signs
1000787506,2011-08-29,Passed Inspection
1000787506,2012-03-08,Passed Inspection
1000787506,2013-02-22,Passed Inspection
1000870001,2010-01-14,Active Rat Signs
1000870001,2010-03-01,Active Rat Signs
1000870001,2011-02-11,Active Rat Signs
1000870001,2011-03-02,Active Rat Signs
1000870001,2012-03-13,Active Rat Signs
1000870001,2012-04-03,Passed Inspection
1000870001,2013-02-27,Active Rat Signs
1000870001,2013-04-22,Passed Inspection
1000870001,2014-02-27,Passed Inspection
1000900007,2010-02-02,Passed Inspection
1000900007,2011-02-07,Active Rat Signs
1000900007,2011-02-28,Active Rat Signs
1000900007,2012-02-29,Active Rat Signs
1000900007,2012-03-14,Active Rat Signs
1000900007,2013-02-26,Passed Inspection
1000900007,2014-02-27,Active Rat Signs
1000900007,2014-03-21,Active Rat Signs
1000900010,2010-02-02,Passed Inspection
1000900010,2011-02-07,Active Rat Signs
1000900010,2011-02-28,Active Rat Signs
1000900010,2012-02-29,Active Rat Signs
1000900010,2012-03-21,Passed Inspection
1000900010,2013-02-26,Passed Inspection
1000900010,2014-02-27,Active Rat Signs
1000900010,2014-03-24,Active Rat Signs
1000900011,2010-02-02,Passed Inspection
1000900011,2011-02-07,Active Rat Signs
1000900011,2011-02-28,Active Rat Signs
1000900011,2012-02-29,Active Rat Signs
1000900011,2012-03-14,Active Rat Signs
1000900011,2013-02-26,Passed Inspection
1000900011,2014-02-27,Active Rat Signs
1000900011,2014-03-21,Active Rat Signs
1000900014,2010-02-02,Active Rat Signs
1000900014,2010-03-01,Active Rat Signs
1000900014,2010-09-14,Active Rat Signs
1000900014,2010-12-03,Active Rat Signs
1000900014,2011-02-07,Active Rat Signs
1000900014,2011-02-28,Active Rat Signs
1000900014,2012-02-29,Active Rat Signs
1000900014,2012-03-14,Active Rat Signs
1000900014,2013-02-26,Passed Inspection
1000900014,2014-02-27,Active Rat Signs
1000900014,2014-03-21,Active Rat Signs
1000900016,2010-02-02,Active Rat Signs
1000900016,2010-03-01,Active Rat Signs
1000900016,2010-09-14,Active Rat Signs
1000900016,2010-10-05,Passed Inspection
1000900016,2011-02-07,Active Rat Signs
1000900016,2011-02-28,Active Rat Signs
1000900016,2012-02-29,Passed Inspection
1000900016,2013-02-26,Passed Inspection
1000900016,2014-02-27,Active Rat Signs
1000900016,2014-03-24,Active Rat Signs
1000900017,2010-02-02,Active Rat Signs
1000900017,2010-03-01,Active Rat Signs
1000900017,2010-09-14,Active Rat Signs
1000900017,2010-10-05,Passed Inspection
1000900017,2011-02-07,Active Rat Signs
1000900017,2011-02-28,Active Rat Signs
1000900017,2012-02-29,Passed Inspection
1000900017,2013-02-26,Passed Inspection
1000900017,2014-02-27,Passed Inspection
1000920001,2010-02-02,Active Rat Signs
1000920001,2010-03-18,Active Rat Signs
1000920001,2010-07-21,Active Rat Signs
1000920001,2010-12-03,Active Rat Signs
1000920001,2010-12-15,Active Rat Signs
1000920001,2011-01-31,Active Rat Signs
1000920001,2013-02-25,Active Rat Signs
1000920001,2013-04-22,Active Rat Signs
1000920037,2010-02-02,Active Rat Signs
1000920037,2010-03-18,Active Rat Signs
1000920037,2011-02-07,Active Rat Signs
1000920037,2011-02-28,Active Rat Signs
1000920037,2012-03-07,Passed Inspection
1000920037,2013-02-25,Active Rat Signs
1000920037,2013-04-22,Passed Inspection
1000920038,2010-02-02,Active Rat Signs
1000920038,2010-03-18,Active Rat Signs
1000920038,2011-02-07,Active Rat Signs
1000920038,2011-02-28,Active Rat Signs
1000920038,2012-03-07,Passed Inspection
1000920038,2013-02-25,Active Rat Signs
1000920038,2013-04-22,Passed Inspection
1000930034,2010-01-26,Active Rat Signs
1000930034,2010-03-01,Active Rat Signs
1000930034,2011-02-08,Active Rat Signs
1000930034,2011-02-28,Active Rat Signs
1000930034,2012-03-07,Passed Inspection
1000930034,2013-02-25,Active Rat Signs
1000930034,2013-04-22,Passed Inspection
1000940001,2009-10-05,Passed Inspection
1000940001,2010-01-26,Passed Inspection
1000940001,2010-05-27,Active Rat Signs
1000940001,2010-06-23,Active Rat Signs
1000940001,2010-06-23,Active Rat Signs
1000940001,2010-06-25,Passed Inspection
1000940001,2010-07-15,Active Rat Signs
1000940001,2010-07-21,Active Rat Signs
1000940001,2010-07-21,Passed Inspection
1000940001,2010-09-23,Active Rat Signs
1000940001,2010-10-05,Active Rat Signs
1000940001,2010-12-03,Passed Inspection
1000940001,2010-12-03,Passed Inspection
1000940001,2010-12-09,Active Rat Signs
1000940001,2011-01-04,Active Rat Signs
1000940001,2011-01-04,Active Rat Signs
1000940001,2011-01-04,Passed Inspection
1000940001,2011-05-13,Active Rat Signs
1000940001,2011-06-07,Passed Inspection
1000940001,2011-06-28,Passed Inspection
1000940001,2012-03-02,Passed Inspection
1000940001,2013-02-27,Passed Inspection
1000940001,2013-05-28,Active Rat Signs
1000940001,2013-06-17,Active Rat Signs
1000940001,2014-04-10,Active Rat Signs
1000940001,2014-05-02,Active Rat Signs
1000940001,2014-08-22,Passed Inspection
1000940025,2010-01-26,Active Rat Signs
1000940025,2010-10-26,Active Rat Signs
1000940025,2011-02-08,Passed Inspection
1000940025,2012-03-05,Passed Inspection
1000940025,2012-10-10,Passed Inspection
1000940025,2013-02-27,Active Rat Signs
1000940025,2013-09-16,Active Rat Signs
1000940025,2013-11-25,Active Rat Signs
1000950027,2010-01-26,Passed Inspection
1000950027,2010-06-23,Active Rat Signs
1000950027,2010-07-15,Active Rat Signs
1000950027,2011-02-09,Active Rat Signs
1000950027,2011-02-28,Active Rat Signs
1000950027,2012-03-05,Passed Inspection
1000950027,2012-08-17,Active Rat Signs
1000950027,2012-09-24,Passed Inspection
1000950027,2013-02-25,Passed Inspection
1001110100,2010-04-07,Passed Inspection
1001110100,2011-03-24,Passed Inspection
1001110100,2012-04-27,Active Rat Signs
1001110100,2012-06-18,Active Rat Signs
1001110100,2013-01-30,Active Rat Signs
1001110100,2013-04-17,Active Rat Signs
1001110100,2013-09-27,Active Rat Signs
1001110100,2014-04-01,Active Rat Signs
1001110100,2014-09-29,Problem Conditions
1001220001,2010-09-23,Active Rat Signs
